Year,Date,State,GeoRegion,ColonyName,SpeciesCode,Longitude_y,Latitude_y,Nests,Birds
2010,2010-Jun-09,FL,Everglades National Park,Frank Key,GREG,-80.9114,25.1062,0,16
2010,2010-Jun-09,FL,Everglades National Park,Lower Arsnicker Key,BRPE,-80.82689999999998,24.9203,0,3
2010,2010-Jun-09,FL,Everglades National Park,Lower Arsnicker Key,DCCO,-80.82689999999998,24.9203,56,90
2010,2010-Jun-09,FL,Everglades National Park,Lower Arsnicker Key,MAFR,-80.82689999999998,24.9203,0,25
2010,2010-Jun-09,FL,Everglades National Park,Lower Arsnicker Key,UNWA,-80.82689999999998,24.9203,0,0
2010,2010-Jun-09,FL,Everglades National Park,Man of War Key,DCCO,-80.910808,25.032786,3,4
2010,2010-Jun-09,FL,Everglades National Park,Oyster Keys,GREG,-80.9514,25.104,9,11
2010,2010-Jun-09,FL,Everglades National Park,Oyster Keys,UNWA,-80.9514,25.104,0,0
2010,2010-Jun-09,FL,Everglades National Park,Palm Key,BRPE,-80.8786,25.1122,0,9
2010,2010-Jun-09,FL,Everglades National Park,Palm Key,DCCO,-80.8786,25.1122,36,99
2010,2010-Jun-09,FL,Everglades National Park,Palm Key,UNWA,-80.8786,25.1122,0,0
2010,2010-Jun-09,FL,Everglades National Park,Rabbit Key,ANHI,-80.8297,24.9916,1,1
2010,2010-Jun-09,FL,Everglades National Park,Rabbit Key,DCCO,-80.8297,24.9916,16,29
2010,2010-Jun-09,FL,Everglades National Park,Rabbit Key,GREG,-80.8297,24.9916,1,1
2010,2010-Jun-09,FL,Everglades National Park,Sandy Key,BRPE,-81.01542,25.034399,31,45
2010,2010-Jun-09,FL,Everglades National Park,Sandy Key,DCCO,-81.01542,25.034399,65,83
2010,2010-Jun-09,FL,Everglades National Park,Sandy Key,GREG,-81.01542,25.034399,35,36
2010,2010-Jun-09,FL,Everglades National Park,Sandy Key,UNWA,-81.01542,25.034399,0,0
2010,2010-Jun-09,FL,Everglades National Park,Upper Arsnicker Key,DCCO,-80.82739999999998,24.9316,30,31
2010,2010-Jun-09,FL,Everglades National Park,Upper Arsnicker Key,UNWA,-80.82739999999998,24.9316,0,0
2010,2010-Jun-09,FL,Florida Keys,Rachel Key,DCCO,-81.0759,24.7265,95,119
2010,2010-Jun-09,FL,Florida Keys,Rachel Key,UNWA,-81.0759,24.7265,0,0
2010,2010-Jun-10,FL,Charlotte Harbor,Big Hickory Bay Islet,DCCO,-81.84149999999998,26.3531,17,17
2010,2010-Jun-10,FL,Charlotte Harbor,Big Hickory Bay Islet,GBHE,-81.84149999999998,26.3531,10,4
2010,2010-Jun-10,FL,Charlotte Harbor,Big Hickory Bay Islet,GREG,-81.84149999999998,26.3531,3,1
2010,2010-Jun-10,FL,Charlotte Harbor,Big Hickory Bay Islet,UNWA,-81.84149999999998,26.3531,0,0
2010,2010-Jun-10,FL,Charlotte Harbor,Black Key South Islet,DCCO,-81.8549,26.4113,2,4
2010,2010-Jun-10,FL,Charlotte Harbor,Black Key South Islet,GBHE,-81.8549,26.4113,10,7
2010,2010-Jun-10,FL,Charlotte Harbor,Black Key South Islet,GREG,-81.8549,26.4113,13,8
2010,2010-Jun-10,FL,Charlotte Harbor,Black Key South Islet,UNWA,-81.8549,26.4113,0,0
2010,2010-Jun-10,FL,Charlotte Harbor,Cape Haze Islet,BRPE,-82.2295,26.7967,4,5
2010,2010-Jun-10,FL,Charlotte Harbor,Cape Haze Islet,DCCO,-82.2295,26.7967,79,97
2010,2010-Jun-10,FL,Charlotte Harbor,Cape Haze Islet,GREG,-82.2295,26.7967,35,24
2010,2010-Jun-10,FL,Charlotte Harbor,Cape Haze Islet,MAFR,-82.2295,26.7967,0,249
2010,2010-Jun-10,FL,Charlotte Harbor,Cape Haze Islet,SNEG,-82.2295,26.7967,3,7
2010,2010-Jun-10,FL,Charlotte Harbor,Cape Haze Islet,TRHE,-82.2295,26.7967,3,10
2010,2010-Jun-10,FL,Charlotte Harbor,Clam Key,GBHE,-82.1126,26.5065,2,1
2010,2010-Jun-10,FL,Charlotte Harbor,East Long Key Islet,BRPE,-81.8592,26.3885,0,11
